numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
61997;20221007060000;100210;10;8;310;15.100000;282.650000;281.850000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98470;mq;mq;-1370;mq;278.850000;mq;285.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1.600000;8.600000;9.000000;9.000000;10.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20221007060000;101560;-160;8;310;7.200000;284.650000;277.850000;63;60000;2;mq;mq;10;1;800;31;20;10;101200;mq;mq;mq;272.650000;mq;mq;mq;271.150000;mq;mq;mq;13.400000;-10;mq;mq;mq;mq;0.000000;mq;mq;mq;0.000000;mq;mq;mq;mq;1;8;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20221007060000;101720;160;1;160;4.500000;300.950000;294.750000;69;20000;0;mq;mq;mq;5;800;mq;mq;mq;101640;mq;mq;-80;mq;mq;mq;mq;mq;mq;mq;6.000000;7.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;1;mq;660;5;mq;1260;mq;mq;mq;mq;mq;mq;
71805;20221007060000;100990;-170;8;70;7.100000;286.550000;285.250000;92;19420;58;mq;mq;100;7;1250;mq;mq;mq;100910;mq;mq;-830;285.750000;mq;288.350000;mq;286.150000;mq;mq;10.200000;10.200000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;1200;8;mq;3120;mq;8;mq;mq;mq;mq;
78890;20221007060000;101320;130;8;90;5.800000;302.050000;297.650000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101000;mq;mq;170;mq;301.750000;mq;305.050000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78894;20221007060000;101370;160;8;70;2.600000;300.350000;296.550000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100860;mq;mq;120;mq;300.250000;mq;304.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20221007060000;101340;-140;8;0;0.000000;297.150000;295.950000;93;18840;mq;mq;mq;mq;mq;mq;mq;mq;mq;101250;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20221007060000;101300;170;8;130;6.300000;300.650000;296.650000;79;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100860;mq;mq;160;mq;300.450000;mq;302.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20221007060000;101290;-160;8;90;0.800000;297.850000;296.650000;93;56580;0;mq;mq;mq;1;2250;mq;mq;mq;101200;mq;mq;190;297.450000;mq;303.550000;mq;mq;mq;mq;1.900000;2.700000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;0.400000;0.400000;mq;mq;mq;mq;1;mq;2040;mq;8;mq;mq;mq;mq;mq;mq;mq;
81401;20221007060000;101020;180;8;0;0.000000;296.550000;296.250000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100960;mq;mq;120;mq;295.850000;mq;308.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20221007060000;101090;-150;8;240;0.700000;294.950000;294.150000;95;17010;0;mq;mq;mq;0;mq;mq;mq;mq;101000;mq;mq;120;mq;mq;mq;mq;296.650000;mq;mq;0.900000;1.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81408;20221007060000;101030;210;8;320;0.500000;295.050000;294.250000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100950;mq;mq;70;mq;295.050000;mq;308.050000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20221007060000;mq;mq;mq;90;1.100000;296.550000;295.350000;93;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;296.250000;mq;308.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20221007060000;96100;-130;6;300;5.700000;262.550000;260.350000;82;20000;2;1;1;100;8;1250;35;61;60;95560;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8;6;1200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
